cpu_id,oid,snap,osize,oseq,offset,length,truncate_size,truncate_seq
 3 ," ""200.00000001""", 18446744073709551614, 2224, 0, 2224, 2889, 0, 0 
 3 ," ""200.00000001""", 18446744073709551614, 5113, 0, 5113, 3158441, 0, 0 
 1 ," ""100000005de.00000000""", 18446744073709551614, 0, 0, 0, 423, 0, 0 
 2 ," ""100000003e9.00000000""", 18446744073709551614, 0, 0, 0, 176, 0, 0 
 0 ," ""200.00000001""", 18446744073709551614, 3163554, 0, 3163554, 5728, 0, 0 
 2 ," ""100000005df.00000000""", 18446744073709551614, 0, 0, 0, 1800, 0, 0 
 0 ," ""100000005e0.00000000""", 18446744073709551614, 0, 0, 0, 676, 0, 0 
 2 ," ""100000005e1.00000000""", 18446744073709551614, 0, 0, 0, 231, 0, 0 
 0 ," ""100000005e2.00000000""", 18446744073709551614, 0, 0, 0, 937, 0, 0 
 0 ," ""100000005e3.00000000""", 18446744073709551614, 0, 0, 0, 655, 0, 0 
 3 ," ""100000005e4.00000000""", 18446744073709551614, 0, 0, 0, 2003, 0, 0 
 3 ," ""100000005e5.00000000""", 18446744073709551614, 0, 0, 0, 733, 0, 0 
 2 ," ""100000005e6.00000000""", 18446744073709551614, 0, 0, 0, 517, 0, 0 
 2 ," ""100000005e7.00000000""", 18446744073709551614, 0, 0, 0, 136, 0, 0 
 1 ," ""100000005e8.00000000""", 18446744073709551614, 0, 0, 0, 856, 0, 0 
 1 ," ""100000005e9.00000000""", 18446744073709551614, 0, 0, 0, 963, 0, 0 
 2 ," ""100000005ea.00000000""", 18446744073709551614, 0, 0, 0, 413, 0, 0 
 1 ," ""100000005eb.00000000""", 18446744073709551614, 0, 0, 0, 748, 0, 0 
 0 ," ""100000005ec.00000000""", 18446744073709551614, 0, 0, 0, 1355, 0, 0 
 3 ," ""100000005ed.00000000""", 18446744073709551614, 0, 0, 0, 117, 0, 0 
 1 ," ""100000005ee.00000000""", 18446744073709551614, 0, 0, 0, 1207, 0, 0 
 1 ," ""100000005ef.00000000""", 18446744073709551614, 0, 0, 0, 920, 0, 0 
 3 ," ""100000005f0.00000000""", 18446744073709551614, 0, 0, 0, 252, 0, 0 
 1 ," ""100000005f1.00000000""", 18446744073709551614, 0, 0, 0, 378, 0, 0 
 3 ," ""100000005f2.00000000""", 18446744073709551614, 0, 0, 0, 484, 0, 0 
 3 ," ""100000005f3.00000000""", 18446744073709551614, 0, 0, 0, 464, 0, 0 
 3 ," ""100000005f4.00000000""", 18446744073709551614, 0, 0, 0, 1448, 0, 0 
 3 ," ""100000005f5.00000000""", 18446744073709551614, 0, 0, 0, 2177, 0, 0 
 3 ," ""100000005f6.00000000""", 18446744073709551614, 0, 0, 0, 814, 0, 0 
 0 ," ""100000005f7.00000000""", 18446744073709551614, 0, 0, 0, 137, 0, 0 
 0 ," ""100000005f8.00000000""", 18446744073709551614, 0, 0, 0, 757, 0, 0 
 0 ," ""100000005f9.00000000""", 18446744073709551614, 0, 0, 0, 1133, 0, 0 
 2 ," ""100000005fa.00000000""", 18446744073709551614, 0, 0, 0, 418, 0, 0 
