cpu_id,oid,snap,op,opname,flags
 3 ," ""200.00000001""", 18446744073709551614, 0x2201," ""write""", 0x20 
 3 ," ""200.00000001""", 18446744073709551614, 0x2201," ""write""", 0x20 
 1 ," ""100000005de.00000000""", 18446744073709551614, 0x220D," ""create""", 0x1 
 1 ," ""100000005de.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000003e9.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""200.00000001""", 18446744073709551614, 0x2201," ""write""", 0x20 
 2 ," ""100000005df.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005e0.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005e1.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005e2.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005e3.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005e4.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005e5.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005e6.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005e7.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""100000005e8.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""100000005e9.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005ea.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""100000005eb.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005ec.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005ed.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""100000005ee.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""100000005ef.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005f0.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""100000005f1.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005f2.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005f3.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005f4.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005f5.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""100000005f6.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005f7.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005f8.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""100000005f9.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005fa.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005fb.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005fc.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005fd.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005fe.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""100000005ff.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""10000000600.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 2 ," ""10000000601.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000602.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000603.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000604.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 1 ," ""10000000605.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""10000000606.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 3 ," ""10000000607.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
 0 ," ""10000000608.00000000""", 18446744073709551614, 0x2201," ""write""", 0x0 
