cpu_id,oid,snap
 0 ," ""200.00000007""", 18446744073709551614 
 3 ," ""200.00000008""", 18446744073709551614 
 1 ," ""200.00000009""", 18446744073709551614 
 1 ," ""200.0000000a""", 18446744073709551614 
 0 ," ""200.0000000b""", 18446744073709551614 
